delta, cmd
"0:01:49.660912", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.459786", "rm ./zero"
"0:11:04.732012", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.417153", "rm ./zero"
"0:02:03.573318", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.445974", "rm ./zero"
"0:11:35.625152", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.525728", "rm ./zero"
"0:02:11.932838", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.477039", "rm ./zero"
"0:11:44.653636", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.424666", "rm ./zero"
