delta, cmd
"0:01:39.440008", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.670478", "rm ./zero"
"0:10:20.326794", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.574704", "rm ./zero"
"0:01:33.077568", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.456482", "rm ./zero"
"0:10:18.177483", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.535705", "rm ./zero"
"0:01:37.639851", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.458857", "rm ./zero"
"0:10:49.426119", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.376930", "rm ./zero"
