delta, cmd
"0:01:01.988450", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:00.711318", "rm ./zero"
"0:03:39.894652", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.432575", "rm ./zero"
"0:00:51.719967", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.316637", "rm ./zero"
"0:03:35.584681", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.346840", "rm ./zero"
"0:00:54.490184", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.250513", "rm ./zero"
"0:03:31.025878", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.275989", "rm ./zero"
