delta, cmd
"0:00:00.171333", "cp /home/linux-4.4.3.tar.xz ."
"0:00:07.072108", "tar xf linux-4.4.3.tar.xz"
"0:11:41.685552", "cd linux-4.4.3; make allmodconfig; make -j10"
"0:00:00.797359", "cd linux-4.4.3; ls -lR ."
"0:00:00.367908", "cd linux-4.4.3; du -h ."
"0:00:01.154788", "rm -r linux-4.4.3"
"0:00:00.205478", "cp /home/linux-4.4.3.tar.xz ."
"0:00:07.048277", "tar xf linux-4.4.3.tar.xz"
"0:11:42.856260", "cd linux-4.4.3; make allmodconfig; make -j10"
"0:00:00.683149", "cd linux-4.4.3; ls -lR ."
"0:00:00.351362", "cd linux-4.4.3; du -h ."
"0:00:01.129782", "rm -r linux-4.4.3"
"0:00:00.198930", "cp /home/linux-4.4.3.tar.xz ."
"0:00:07.114857", "tar xf linux-4.4.3.tar.xz"
"0:11:42.291979", "cd linux-4.4.3; make allmodconfig; make -j10"
"0:00:00.837820", "cd linux-4.4.3; ls -lR ."
"0:00:00.358479", "cd linux-4.4.3; du -h ."
"0:00:01.144628", "rm -r linux-4.4.3"
