delta, cmd
"0:01:49.277682", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.239668", "rm ./zero"
"0:11:07.769675", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.416533", "rm ./zero"
"0:01:48.388141", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.426417", "rm ./zero"
"0:11:10.901976", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.415150", "rm ./zero"
"0:01:28.944835", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.413737", "rm ./zero"
"0:11:10.395216", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.228618", "rm ./zero"
