delta, cmd
"0:03:35.420030", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:01.734086", "rm ./zero"
"0:25:51.387472", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.258379", "rm ./zero"
"0:03:44.148537", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.423710", "rm ./zero"
"0:27:15.595479", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.293186", "rm ./zero"
"0:03:49.304960", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.232476", "rm ./zero"
"0:26:45.900380", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.254144", "rm ./zero"
