delta, cmd
"0:01:33.294376", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.433939", "rm ./zero"
"0:08:14.485348", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.351472", "rm ./zero"
"0:01:48.214948", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.535332", "rm ./zero"
"0:08:11.475443", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.488282", "rm ./zero"
"0:01:30.467822", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.490096", "rm ./zero"
"0:08:11.404973", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.347570", "rm ./zero"
