machine,workload,op,fs,time
pl2,fio_sequential_1,exec,gassyfs,0:00:25.713909
pl2,fio_sequential_1,exec,tmpfs,0:00:04.829141
pl2,fio_sequential_2,exec,gassyfs,0:00:25.904663
pl2,fio_sequential_2,exec,tmpfs,0:00:05.008325
pl2,fio_sequential_3,exec,gassyfs,0:00:19.596589
pl2,fio_sequential_3,exec,tmpfs,0:00:05.003001
nibbler,fio_sequential_1,exec,gassyfs,0:00:44.472663
nibbler,fio_sequential_1,exec,tmpfs,0:00:10.726014
nibbler,fio_sequential_2,exec,gassyfs,0:00:48.915472
nibbler,fio_sequential_2,exec,tmpfs,0:00:06.748599
nibbler,fio_sequential_3,exec,gassyfs,0:00:43.694482
nibbler,fio_sequential_3,exec,tmpfs,0:00:04.062356
rackform2,fio_sequential_1,exec,gassyfs,0:00:31.328747
rackform2,fio_sequential_1,exec,tmpfs,0:00:04.826247
rackform2,fio_sequential_2,exec,gassyfs,0:00:31.856511
rackform2,fio_sequential_2,exec,tmpfs,0:00:04.888731
rackform2,fio_sequential_3,exec,gassyfs,0:00:25.951339
rackform2,fio_sequential_3,exec,tmpfs,0:00:04.870808
