machine,workload,op,fs,time
nibbler,xarray_metar_1,exec,local,0:01:06.108235
nibbler,xarray_metar_1,copy,gassyfs,0:00:32.520964
nibbler,xarray_metar_1,exec,gassyfs,0:00:07.181627
nibbler,xarray_metar_1,copy,tmpfs,0:00:10.232809
nibbler,xarray_metar_1,exec,tmpfs,0:00:09.048099
nibbler,xarray_metar_2,exec,local,0:01:06.031305
nibbler,xarray_metar_2,exec,gassyfs,0:00:20.276225
nibbler,xarray_metar_2,exec,tmpfs,0:00:07.086379
nibbler,xarray_metar_3,exec,local,0:01:44.185444
nibbler,xarray_metar_3,exec,gassyfs,0:00:57.731014
nibbler,xarray_metar_3,exec,tmpfs,0:00:47.015509
nibbler,xarray_metar_4,exec,local,0:02:24.226107
nibbler,xarray_metar_4,exec,gassyfs,0:01:45.829922
nibbler,xarray_metar_4,exec,tmpfs,0:01:28.716393
nibbler,xarray_metar_5,exec,local,0:03:04.729956
nibbler,xarray_metar_5,exec,gassyfs,0:02:16.351772
nibbler,xarray_metar_5,exec,tmpfs,0:02:06.540933
pl2,xarray_metar_1,exec,local,0:01:12.829781
pl2,xarray_metar_1,copy,gassyfs,0:00:27.958368
pl2,xarray_metar_1,exec,gassyfs,0:00:09.430859
pl2,xarray_metar_1,copy,tmpfs,0:00:03.290878
pl2,xarray_metar_1,exec,tmpfs,0:00:05.795992
pl2,xarray_metar_2,exec,local,0:01:12.782938
pl2,xarray_metar_2,exec,gassyfs,0:00:09.573822
pl2,xarray_metar_2,exec,tmpfs,0:00:05.443660
pl2,xarray_metar_3,exec,local,0:01:49.107394
pl2,xarray_metar_3,exec,gassyfs,0:00:46.812959
pl2,xarray_metar_3,exec,tmpfs,0:00:42.435842
pl2,xarray_metar_4,exec,local,0:02:25.779400
pl2,xarray_metar_4,exec,gassyfs,0:01:23.124958
pl2,xarray_metar_4,exec,tmpfs,0:01:18.263880
pl2,xarray_metar_5,exec,local,0:03:02.308983
pl2,xarray_metar_5,exec,gassyfs,0:01:58.888659
pl2,xarray_metar_5,exec,tmpfs,0:01:54.672347
rackform2,xarray_metar_1,exec,local,0:01:03.018122
rackform2,xarray_metar_1,copy,gassyfs,0:00:27.359590
rackform2,xarray_metar_1,exec,gassyfs,0:00:09.046205
rackform2,xarray_metar_1,copy,tmpfs,0:00:03.092268
rackform2,xarray_metar_1,exec,tmpfs,0:00:06.057813
rackform2,xarray_metar_2,exec,local,0:01:02.859706
rackform2,xarray_metar_2,exec,gassyfs,0:00:08.448753
rackform2,xarray_metar_2,exec,tmpfs,0:00:06.430648
rackform2,xarray_metar_3,exec,local,0:01:47.446040
rackform2,xarray_metar_3,exec,gassyfs,0:00:53.737336
rackform2,xarray_metar_3,exec,tmpfs,0:00:51.412542
rackform2,xarray_metar_4,exec,local,0:02:28.317570
rackform2,xarray_metar_4,exec,gassyfs,0:01:38.533035
rackform2,xarray_metar_4,exec,tmpfs,0:01:45.029869
rackform2,xarray_metar_5,exec,local,0:03:04.547877
rackform2,xarray_metar_5,exec,gassyfs,0:02:14.949901
rackform2,xarray_metar_5,exec,tmpfs,0:02:12.609480
