machine,limits,benchmark,lower_is_better,class,repetition,result
"192.168.140.82","quota-7111","stressng-cpu-ackermann",false,"cpu","rep-1",1.456535
"192.168.140.82","quota-7111","stressng-cpu-bitops",false,"cpu","rep-1",1236.182699
"192.168.140.82","quota-7111","stressng-cpu-callfunc",false,"cpu","rep-1",52736.215971
"192.168.140.82","quota-7111","stressng-cpu-cdouble",false,"cpu","rep-1",3022.665841
"192.168.140.82","quota-7111","stressng-cpu-cfloat",false,"cpu","rep-1",1391.045311
"192.168.140.82","quota-7111","stressng-cpu-clongdouble",false,"cpu","rep-1",354.479649
"192.168.140.82","quota-7111","stressng-cpu-correlate",false,"cpu","rep-1",21.182978
"192.168.140.82","quota-7111","stressng-cpu-crc16",false,"cpu","rep-1",68.650688
"192.168.140.82","quota-7111","stressng-cpu-decimal32",false,"cpu","rep-1",738.784922
"192.168.140.82","quota-7111","stressng-cpu-decimal64",false,"cpu","rep-1",804.930088
"192.168.140.82","quota-7111","stressng-cpu-decimal128",false,"cpu","rep-1",100.411637
"192.168.140.82","quota-7111","stressng-cpu-dither",false,"cpu","rep-1",18.966838
"192.168.140.82","quota-7111","stressng-cpu-djb2a",false,"cpu","rep-1",42077.376564
"192.168.140.82","quota-7111","stressng-cpu-double",false,"cpu","rep-1",3326.683027
"192.168.140.82","quota-7111","stressng-cpu-euler",false,"cpu","rep-1",3047282.51014
"192.168.140.82","quota-7111","stressng-cpu-explog",false,"cpu","rep-1",60.679442
"192.168.140.82","quota-7111","stressng-cpu-fft",false,"cpu","rep-1",180.364165
"192.168.140.82","quota-7111","stressng-cpu-fibonacci",false,"cpu","rep-1",7952825.51196
"192.168.140.82","quota-7111","stressng-cpu-float",false,"cpu","rep-1",18446.816713
"192.168.140.82","quota-7111","stressng-cpu-fnv1a",false,"cpu","rep-1",38294.188079
"192.168.140.82","quota-7111","stressng-cpu-gamma",false,"cpu","rep-1",46.052764
"192.168.140.82","quota-7111","stressng-cpu-gcd",false,"cpu","rep-1",1319.231825
"192.168.140.82","quota-7111","stressng-cpu-gray",false,"cpu","rep-1",10650.409649
"192.168.140.82","quota-7111","stressng-cpu-hamming",false,"cpu","rep-1",256.454045
"192.168.140.82","quota-7111","stressng-cpu-hanoi",false,"cpu","rep-1",49.252191
"192.168.140.82","quota-7111","stressng-cpu-hyperbolic",false,"cpu","rep-1",335.167517
"192.168.140.82","quota-7111","stressng-cpu-idct",false,"cpu","rep-1",12410.045861
"192.168.140.82","quota-7111","stressng-cpu-int128",false,"cpu","rep-1",2575.174704
"192.168.140.82","quota-7111","stressng-cpu-int64",false,"cpu","rep-1",17686.010344
"192.168.140.82","quota-7111","stressng-cpu-int32",false,"cpu","rep-1",18151.640248
"192.168.140.82","quota-7111","stressng-cpu-int16",false,"cpu","rep-1",16821.728475
"192.168.140.82","quota-7111","stressng-cpu-int8",false,"cpu","rep-1",13901.605002
"192.168.140.82","quota-7111","stressng-cpu-int128float",false,"cpu","rep-1",2474.036645
"192.168.140.82","quota-7111","stressng-cpu-int128double",false,"cpu","rep-1",1489.785686
"192.168.140.82","quota-7111","stressng-cpu-int128longdouble",false,"cpu","rep-1",298.692558
"192.168.140.82","quota-7111","stressng-cpu-int128decimal32",false,"cpu","rep-1",598.572999
"192.168.140.82","quota-7111","stressng-cpu-int128decimal64",false,"cpu","rep-1",613.097603
"192.168.140.82","quota-7111","stressng-cpu-int128decimal128",false,"cpu","rep-1",96.299127
"192.168.140.82","quota-7111","stressng-cpu-int64float",false,"cpu","rep-1",11198.640348
"192.168.140.82","quota-7111","stressng-cpu-int64double",false,"cpu","rep-1",2981.965448
"192.168.140.82","quota-7111","stressng-cpu-int64longdouble",false,"cpu","rep-1",321.489553
"192.168.140.82","quota-7111","stressng-cpu-int32float",false,"cpu","rep-1",11559.617363
"192.168.140.82","quota-7111","stressng-cpu-int32double",false,"cpu","rep-1",3019.665655
"192.168.140.82","quota-7111","stressng-cpu-int32longdouble",false,"cpu","rep-1",321.661341
"192.168.140.82","quota-7111","stressng-cpu-jenkin",false,"cpu","rep-1",14688.68472
"192.168.140.82","quota-7111","stressng-cpu-jmp",false,"cpu","rep-1",17736.686508
"192.168.140.82","quota-7111","stressng-cpu-ln2",false,"cpu","rep-1",13364.102868
"192.168.140.82","quota-7111","stressng-cpu-longdouble",false,"cpu","rep-1",325.967693
"192.168.140.82","quota-7111","stressng-cpu-loop",false,"cpu","rep-1",10663.544746
"192.168.140.82","quota-7111","stressng-cpu-matrixprod",false,"cpu","rep-1",60.126387
"192.168.140.82","quota-7111","stressng-cpu-nsqrt",false,"cpu","rep-1",68.305745
"192.168.140.82","quota-7111","stressng-cpu-omega",false,"cpu","rep-1",876477.321163
"192.168.140.82","quota-7111","stressng-cpu-parity",false,"cpu","rep-1",2254.346605
"192.168.140.82","quota-7111","stressng-cpu-phi",false,"cpu","rep-1",3894400.86985
"192.168.140.82","quota-7111","stressng-cpu-pi",false,"cpu","rep-1",217608.948932
"192.168.140.82","quota-7111","stressng-cpu-pjw",false,"cpu","rep-1",23860.735963
"192.168.140.82","quota-7111","stressng-cpu-prime",false,"cpu","rep-1",3.463276
"192.168.140.82","quota-7111","stressng-cpu-psi",false,"cpu","rep-1",898495.331349
"192.168.140.82","quota-7111","stressng-cpu-queens",false,"cpu","rep-1",33.545831
"192.168.140.82","quota-7111","stressng-cpu-rand",false,"cpu","rep-1",5182.650822
"192.168.140.82","quota-7111","stressng-cpu-rand48",false,"cpu","rep-1",1121.253565
"192.168.140.82","quota-7111","stressng-cpu-rgb",false,"cpu","rep-1",24600.7132
"192.168.140.82","quota-7111","stressng-cpu-sdbm",false,"cpu","rep-1",35912.965253
"192.168.140.82","quota-7111","stressng-cpu-sieve",false,"cpu","rep-1",9.843854
"192.168.140.82","quota-7111","stressng-cpu-sqrt",false,"cpu","rep-1",1848.051621
"192.168.140.82","quota-7111","stressng-cpu-trig",false,"cpu","rep-1",197.22766
"192.168.140.82","quota-7111","stressng-cpu-union",false,"cpu","rep-1",6370.02649
"192.168.140.82","quota-7111","stressng-cpu-zeta",false,"cpu","rep-1",133.384662
"192.168.140.82","quota-7111","stressng-matrix-add",false,"matrix","rep-1",47129.829233
"192.168.140.82","quota-7111","stressng-matrix-div",false,"matrix","rep-1",39928.115143
"192.168.140.82","quota-7111","stressng-matrix-frobenius",false,"matrix","rep-1",20078.104356
"192.168.140.82","quota-7111","stressng-matrix-mult",false,"matrix","rep-1",71746.766063
"192.168.140.82","quota-7111","stressng-matrix-prod",false,"matrix","rep-1",135.923611
"192.168.140.82","quota-7111","stressng-matrix-sub",false,"matrix","rep-1",51411.81346
"192.168.140.82","quota-7111","stressng-matrix-hadamard",false,"matrix","rep-1",51621.540919
"192.168.140.82","quota-7111","stressng-matrix-trans",false,"matrix","rep-1",20080.28043
"192.168.140.82","quota-7111","stressng-string-index",false,"string","rep-1",27354.509567
"192.168.140.82","quota-7111","stressng-string-rindex",false,"string","rep-1",18944.30017
"192.168.140.82","quota-7111","stressng-string-strcasecmp",false,"string","rep-1",9988.510869
"192.168.140.82","quota-7111","stressng-string-strcat",false,"string","rep-1",9707.174773
"192.168.140.82","quota-7111","stressng-string-strchr",false,"string","rep-1",27332.338448
"192.168.140.82","quota-7111","stressng-string-strcoll",false,"string","rep-1",10920.360144
"192.168.140.82","quota-7111","stressng-string-strcmp",false,"string","rep-1",13744.256035
"192.168.140.82","quota-7111","stressng-string-strcpy",false,"string","rep-1",29904.679672
"192.168.140.82","quota-7111","stressng-string-strlen",false,"string","rep-1",33032.711854
"192.168.140.82","quota-7111","stressng-string-strncasecmp",false,"string","rep-1",8553.124675
"192.168.140.82","quota-7111","stressng-string-strncat",false,"string","rep-1",6995.444198
"192.168.140.82","quota-7111","stressng-string-strncmp",false,"string","rep-1",10044.820181
"192.168.140.82","quota-7111","stressng-string-strrchr",false,"string","rep-1",18740.979087
"192.168.140.82","quota-7111","stressng-string-strxfrm",false,"string","rep-1",2131.081252
"192.168.140.82","quota-7111","stressng-cpu-af-alg",false,"cpu","rep-1",104152.135951
"192.168.140.82","quota-7111","stressng-cpu-bsearch",false,"cpu","rep-1",52.181131
"192.168.140.82","quota-7111","stressng-cpu-cpu",false,"cpu","rep-1",45.956082
"192.168.140.82","quota-7111","stressng-cpu-crypt",false,"cpu","rep-1",63.083403
"192.168.140.82","quota-7111","stressng-cpu-hsearch",false,"cpu","rep-1",1388.265015
"192.168.140.82","quota-7111","stressng-cpu-longjmp",false,"cpu","rep-1",42201.703862
"192.168.140.82","quota-7111","stressng-cpu-lsearch",false,"cpu","rep-1",2.50001
"192.168.140.82","quota-7111","stressng-cpu-numa",false,"cpu","rep-1",29.542085
"192.168.140.82","quota-7111","stressng-cpu-qsort",false,"cpu","rep-1",2.699997
"192.168.140.82","quota-7111","stressng-cpu-str",false,"cpu","rep-1",9392.277607
"192.168.140.82","quota-7111","stressng-cpu-stream",false,"cpu","rep-1",14.919561
"192.168.140.82","quota-7111","stressng-cpu-tsearch",false,"cpu","rep-1",6.670066
"192.168.140.82","quota-7111","stressng-cpu-vecmath",false,"cpu","rep-1",11128.99446
"192.168.140.82","quota-7111","stressng-cpu-wcs",false,"cpu","rep-1",4315.289502
"192.168.140.82","quota-7111","stressng-memory-context",false,"memory","rep-1",1497.505391
"192.168.140.82","quota-7111","stressng-memory-lockbus",false,"memory","rep-1",525646.504045
"192.168.140.82","quota-7111","stressng-memory-malloc",false,"memory","rep-1",10639.923514
"192.168.140.82","quota-7111","stressng-memory-matrix",false,"memory","rep-1",1318.837323
"192.168.140.82","quota-7111","stressng-memory-memcpy",false,"memory","rep-1",470.566118
"192.168.140.82","quota-7111","stressng-memory-memfd",false,"memory","rep-1",0.095643
"192.168.140.82","quota-7111","stressng-memory-mincore",false,"memory","rep-1",11625.28816
"192.168.140.82","quota-7111","stressng-memory-null",false,"memory","rep-1",1739984.59206
"192.168.140.82","quota-7111","stressng-memory-pipe",false,"memory","rep-1",81025.430928
"192.168.140.82","quota-7111","stressng-memory-str",false,"memory","rep-1",9610.25066
"192.168.140.82","quota-7111","stressng-memory-zero",false,"memory","rep-1",836685.18781
"192.168.140.82","quota-7111","stressng-cpu-cache-cache","cpu-cache","rep-1",24.600106
