benchmark,base_result,machine,limits,lower_is_better,class,repetition,result,normalized
stressng-cpu-ackermann,1.9095900000000001,192.168.140.82,quota-7111,false,cpu,rep-1,1.4565350000000001,0.7627475007724172
stressng-cpu-ackermann,1.9095900000000001,192.168.140.82,quota-7111,false,cpu,rep-2,1.466636,0.768037117915364
stressng-cpu-ackermann,1.9095900000000001,192.168.140.82,without,false,cpu,1,2.743028,1.4364486617546173
stressng-cpu-ackermann,1.9095900000000001,192.168.140.82,without,false,cpu,2,2.744397,1.437165569572526
stressng-cpu-ackermann,1.9095900000000001,192.168.140.86,quota-6352,false,cpu,rep-1,1.149848,0.6021439157096549
stressng-cpu-ackermann,1.9095900000000001,192.168.140.86,quota-6352,false,cpu,rep-2,1.138639,0.5962740693028346
stressng-cpu-ackermann,1.9095900000000001,192.168.140.86,without,false,cpu,1,3.15482,1.6520928576291245
stressng-cpu-ackermann,1.9095900000000001,192.168.140.86,without,false,cpu,2,3.1495900000000003,1.6493540498222132
stressng-cpu-ackermann,1.9095900000000001,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,1.151528,0.6030236857126399
stressng-cpu-ackermann,1.9095900000000001,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,1.146708,0.6004995836802665
stressng-cpu-ackermann,1.9095900000000001,clnode056.clemson.cloudlab.us,without,false,cpu,1,2.278665,1.1932744725307527
stressng-cpu-ackermann,1.9095900000000001,clnode056.clemson.cloudlab.us,without,false,cpu,2,2.279075,1.1934891783052908
stressng-cpu-ackermann,1.9095900000000001,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,1.483596,0.7769186055645452
stressng-cpu-ackermann,1.9095900000000001,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,1.482604,0.7763991223246874
stressng-cpu-ackermann,1.9095900000000001,dwill.soe.ucsc.edu,without,false,cpu,1,3.4210550000000004,1.7915128378342997
stressng-cpu-ackermann,1.9095900000000001,dwill.soe.ucsc.edu,without,false,cpu,2,3.425547,1.7938651752470425
stressng-cpu-ackermann,1.9095900000000001,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,1.414435,0.7407008834357114
stressng-cpu-ackermann,1.9095900000000001,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,1.425686,0.7465927240926062
stressng-cpu-ackermann,1.9095900000000001,nibbler.soe.ucsc.edu,without,false,cpu,1,2.947552,1.5435522808561
stressng-cpu-ackermann,1.9095900000000001,nibbler.soe.ucsc.edu,without,false,cpu,2,2.95064,1.5451693819092056
stressng-cpu-ackermann,1.9120970000000002,192.168.140.82,quota-7111,false,cpu,rep-1,1.4565350000000001,0.7617474427291084
stressng-cpu-ackermann,1.9120970000000002,192.168.140.82,quota-7111,false,cpu,rep-2,1.466636,0.7670301245177414
stressng-cpu-ackermann,1.9120970000000002,192.168.140.82,without,false,cpu,1,2.743028,1.4345652966350555
stressng-cpu-ackermann,1.9120970000000002,192.168.140.82,without,false,cpu,2,2.744397,1.4352812644965187
stressng-cpu-ackermann,1.9120970000000002,192.168.140.86,quota-6352,false,cpu,rep-1,1.149848,0.6013544291947531
stressng-cpu-ackermann,1.9120970000000002,192.168.140.86,quota-6352,false,cpu,rep-2,1.138639,0.5954922788958927
stressng-cpu-ackermann,1.9120970000000002,192.168.140.86,without,false,cpu,1,3.15482,1.6499267558078903
stressng-cpu-ackermann,1.9120970000000002,192.168.140.86,without,false,cpu,2,3.1495900000000003,1.647191538922973
stressng-cpu-ackermann,1.9120970000000002,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,1.151528,0.6022330457084552
stressng-cpu-ackermann,1.9120970000000002,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,1.146708,0.5997122530917626
stressng-cpu-ackermann,1.9120970000000002,clnode056.clemson.cloudlab.us,without,false,cpu,1,2.278665,1.1917099394016097
stressng-cpu-ackermann,1.9120970000000002,clnode056.clemson.cloudlab.us,without,false,cpu,2,2.279075,1.1919243636698347
stressng-cpu-ackermann,1.9120970000000002,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,1.483596,0.7758999674179708
stressng-cpu-ackermann,1.9120970000000002,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,1.482604,0.7753811652860707
stressng-cpu-ackermann,1.9120970000000002,dwill.soe.ucsc.edu,without,false,cpu,1,3.4210550000000004,1.7891639388587504
stressng-cpu-ackermann,1.9120970000000002,dwill.soe.ucsc.edu,without,false,cpu,2,3.425547,1.791513192060863
stressng-cpu-ackermann,1.9120970000000002,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,1.414435,0.739729731284553
stressng-cpu-ackermann,1.9120970000000002,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,1.425686,0.7456138469962559
stressng-cpu-ackermann,1.9120970000000002,nibbler.soe.ucsc.edu,without,false,cpu,1,2.947552,1.5415284894019496
stressng-cpu-ackermann,1.9120970000000002,nibbler.soe.ucsc.edu,without,false,cpu,2,2.95064,1.5431434702318971
stressng-cpu-bitops,1304.974705,192.168.140.82,quota-7111,false,cpu,rep-1,1236.182699,0.9472847973708425
stressng-cpu-bitops,1304.974705,192.168.140.82,quota-7111,false,cpu,rep-2,1240.573321,0.950649323888619
stressng-cpu-bitops,1304.974705,192.168.140.82,without,false,cpu,1,2329.8235670000004,1.7853400208243886
stressng-cpu-bitops,1304.974705,192.168.140.82,without,false,cpu,2,2317.6223649999997,1.7759902595200108
stressng-cpu-bitops,1304.974705,192.168.140.86,quota-6352,false,cpu,rep-1,1106.086419,0.8475922290003314
stressng-cpu-bitops,1304.974705,192.168.140.86,quota-6352,false,cpu,rep-2,1094.665419,0.8388403352232026
stressng-cpu-bitops,1304.974705,192.168.140.86,without,false,cpu,1,3074.861512,2.3562613897562095
stressng-cpu-bitops,1304.974705,192.168.140.86,without,false,cpu,2,3070.50183,2.352920572510254
stressng-cpu-bitops,1304.974705,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,1101.862643,0.8443555563017597
stressng-cpu-bitops,1304.974705,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,1101.996138,0.8444578533037542
stressng-cpu-bitops,1304.974705,clnode056.clemson.cloudlab.us,without,false,cpu,1,2190.470232,1.678553786220707
stressng-cpu-bitops,1304.974705,clnode056.clemson.cloudlab.us,without,false,cpu,2,2190.5015670000003,1.678577798180387
stressng-cpu-bitops,1304.974705,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,1434.195144,1.0990214128326725
stressng-cpu-bitops,1304.974705,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,1433.498291,1.0984874155089466
stressng-cpu-bitops,1304.974705,dwill.soe.ucsc.edu,without,false,cpu,1,3324.055778,2.5472185516423473
stressng-cpu-bitops,1304.974705,dwill.soe.ucsc.edu,without,false,cpu,2,3324.947125,2.547901589402838
stressng-cpu-bitops,1304.974705,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,1087.474124,0.8333296575277296
stressng-cpu-bitops,1304.974705,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,1092.054254,0.836839403718557
stressng-cpu-bitops,1304.974705,nibbler.soe.ucsc.edu,without,false,cpu,1,2268.3859390000002,1.7382604661291117
stressng-cpu-bitops,1304.974705,nibbler.soe.ucsc.edu,without,false,cpu,2,2248.248327,1.722829046713208
stressng-cpu-bitops,1304.945833,192.168.140.82,quota-7111,false,cpu,rep-1,1236.182699,0.9473057561002993
stressng-cpu-bitops,1304.945833,192.168.140.82,quota-7111,false,cpu,rep-2,1240.573321,0.9506703570584144
stressng-cpu-bitops,1304.945833,192.168.140.82,without,false,cpu,1,2329.8235670000004,1.7853795215728316
stressng-cpu-bitops,1304.945833,192.168.140.82,without,false,cpu,2,2317.6223649999997,1.776029553404459
stressng-cpu-bitops,1304.945833,192.168.140.86,quota-6352,false,cpu,rep-1,1106.086419,0.8476109820261022
stressng-cpu-bitops,1304.945833,192.168.140.86,quota-6352,false,cpu,rep-2,1094.665419,0.838858894612831
stressng-cpu-bitops,1304.945833,192.168.140.86,without,false,cpu,1,3074.861512,2.3563135221720732
stressng-cpu-bitops,1304.945833,192.168.140.86,without,false,cpu,2,3070.50183,2.352972631010348
stressng-cpu-bitops,1304.945833,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,1101.862643,0.844374237715965
stressng-cpu-bitops,1304.945833,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,1101.996138,0.8444765369812863
stressng-cpu-bitops,1304.945833,clnode056.clemson.cloudlab.us,without,false,cpu,1,2190.470232,1.6785909243176993
stressng-cpu-bitops,1304.945833,clnode056.clemson.cloudlab.us,without,false,cpu,2,2190.5015670000003,1.6786149368086456
stressng-cpu-bitops,1304.945833,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,1434.195144,1.0990457287432864
stressng-cpu-bitops,1304.945833,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,1433.498291,1.0985117196048397
stressng-cpu-bitops,1304.945833,dwill.soe.ucsc.edu,without,false,cpu,1,3324.055778,2.5472749089961653
stressng-cpu-bitops,1304.945833,dwill.soe.ucsc.edu,without,false,cpu,2,3324.947125,2.5479579618689048
stressng-cpu-bitops,1304.945833,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,1087.474124,0.8333480949933039
stressng-cpu-bitops,1304.945833,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,1092.054254,0.8368579188374633
stressng-cpu-bitops,1304.945833,nibbler.soe.ucsc.edu,without,false,cpu,1,2268.3859390000002,1.7382989252397576
stressng-cpu-bitops,1304.945833,nibbler.soe.ucsc.edu,without,false,cpu,2,2248.248327,1.7228671644028306
stressng-cpu-callfunc,51233.28355,192.168.140.82,quota-7111,false,cpu,rep-1,52736.215971,1.029335079012323
stressng-cpu-callfunc,51233.28355,192.168.140.82,quota-7111,false,cpu,rep-2,52908.758942,1.0327028696172647
stressng-cpu-callfunc,51233.28355,192.168.140.82,without,false,cpu,1,97235.873557,1.8979043859662983
stressng-cpu-callfunc,51233.28355,192.168.140.82,without,false,cpu,2,97321.871479,1.8995829417027477
stressng-cpu-callfunc,51233.28355,192.168.140.86,quota-6352,false,cpu,rep-1,44627.898987,0.8710723946367088
stressng-cpu-callfunc,51233.28355,192.168.140.86,quota-6352,false,cpu,rep-2,44248.060574,0.8636584951814982
stressng-cpu-callfunc,51233.28355,192.168.140.86,without,false,cpu,1,125187.937273,2.4434884629408065
stressng-cpu-callfunc,51233.28355,192.168.140.86,without,false,cpu,2,122700.06913699998,2.3949288555213046
stressng-cpu-callfunc,51233.28355,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,44689.432206,0.8722734345610764
stressng-cpu-callfunc,51233.28355,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,43792.473655,0.8547660938472096
stressng-cpu-callfunc,51233.28355,clnode056.clemson.cloudlab.us,without,false,cpu,1,89223.782907,1.741519901216638
stressng-cpu-callfunc,51233.28355,clnode056.clemson.cloudlab.us,without,false,cpu,2,86781.160697,1.6938434291900855
stressng-cpu-callfunc,51233.28355,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,57757.373507000004,1.1273408515898256
stressng-cpu-callfunc,51233.28355,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,58202.437289,1.1360278564265476
stressng-cpu-callfunc,51233.28355,dwill.soe.ucsc.edu,without,false,cpu,1,133710.11358900002,2.609829086174197
stressng-cpu-callfunc,51233.28355,dwill.soe.ucsc.edu,without,false,cpu,2,134137.539857,2.6181718321077625
stressng-cpu-callfunc,51233.28355,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,55597.38896900001,1.0851810603694951
stressng-cpu-callfunc,51233.28355,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,56790.920701999996,1.10847708299969
stressng-cpu-callfunc,51233.28355,nibbler.soe.ucsc.edu,without,false,cpu,1,126441.37983900002,2.4679538588543193
stressng-cpu-callfunc,51233.28355,nibbler.soe.ucsc.edu,without,false,cpu,2,117468.08929100001,2.2928081347032854
stressng-cpu-callfunc,51896.256564999996,192.168.140.82,quota-7111,false,cpu,rep-1,52736.215971,1.0161853563550958
stressng-cpu-callfunc,51896.256564999996,192.168.140.82,quota-7111,false,cpu,rep-2,52908.758942,1.0195101235429542
stressng-cpu-callfunc,51896.256564999996,192.168.140.82,without,false,cpu,1,97235.873557,1.8736587182393818
