delta, cmd
"0:00:43.954152", "git clone --recursive --branch=v10.0.3 https://github.com/ceph/ceph.git /mount/ceph"
"0:02:53.168015", "cd ceph; ./install-deps.sh; ./autogen.sh; ./configure --with-debug --with-librocksdb-static"
"0:11:19.041481", "cd ceph; make -j10"
"0:00:02.257044", "rm -r ceph"
"0:00:46.254062", "git clone --recursive --branch=v10.0.3 https://github.com/ceph/ceph.git /mount/ceph"
"0:01:40.137044", "cd ceph; ./install-deps.sh; ./autogen.sh; ./configure --with-debug --with-librocksdb-static"
"0:11:02.448304", "cd ceph; make -j10"
"0:00:04.963280", "rm -r ceph"
"0:00:37.502014", "git clone --recursive --branch=v10.0.3 https://github.com/ceph/ceph.git /mount/ceph"
"0:01:48.110506", "cd ceph; ./install-deps.sh; ./autogen.sh; ./configure --with-debug --with-librocksdb-static"
"0:11:06.471648", "cd ceph; make -j10"
"0:00:05.050940", "rm -r ceph"
