delta, cmd
"0:00:11.805953", "git clone --recursive --branch=v2.7.1 https://github.com/git/git.git /mount/git"
"0:00:18.524978", "cd git; make -j5"
"0:13:23.690104", "cd git; make test"
"0:00:00.063834", "rm -r git"
"0:00:10.846764", "git clone --recursive --branch=v2.7.1 https://github.com/git/git.git /mount/git"
"0:00:17.671535", "cd git; make -j5"
"0:13:18.645237", "cd git; make test"
"0:00:00.123230", "rm -r git"
"0:00:23.055226", "git clone --recursive --branch=v2.7.1 https://github.com/git/git.git /mount/git"
"0:00:17.611604", "cd git; make -j5"
"0:13:17.597706", "cd git; make test"
"0:00:00.064893", "rm -r git"
